CustomerKey;FullName;BirthDate;Married;Gender;YearlyIncome;Education;Occupation;HouseOwner;Country;Address;DateFirstPurchase
11000;Jon Yang;1971-10-06;1;Male;90000,00;Bachelors;Professional;1;Australia;3761 N. 14th St;2021-01-19
11001;Eugene Huang;1976-05-10;0;Male;60000,00;Bachelors;Professional;0;Australia;2243 W St.;2021-01-15
11002;Ruben Torres;1971-02-09;1;Male;60000,00;Bachelors;Professional;1;Australia;5844 Linden Land;2021-01-07
11003;Christy Zhu;1973-08-14;0;Female;70000,00;Bachelors;Professional;0;Australia;1825 Village Pl.;2020-12-29
11004;Elizabeth Johnson;1979-08-05;0;Female;80000,00;Bachelors;Professional;1;Australia;7553 Harness Circle;2021-01-23
11005;Julio Ruiz;1976-08-01;0;Male;70000,00;Bachelors;Professional;1;Australia;7305 Humphrey Drive;2020-12-30
11006;Janet Alvarez;1976-12-02;0;Female;70000,00;Bachelors;Professional;1;Australia;2612 Berry Dr;2021-01-24
11007;Marco Mehta;1969-11-06;1;Male;60000,00;Bachelors;Professional;1;Australia;942 Brook Street;2021-01-09
11008;Rob Verhoff;1975-07-04;0;Female;60000,00;Bachelors;Professional;1;Australia;624 Peabody Road;2021-01-25
11009;Shannon Carlson;1969-09-29;0;Male;70000,00;Bachelors;Professional;0;Australia;3839 Northgate Road;2021-01-27
11010;Jacquelyn Suarez;1969-08-05;0;Female;70000,00;Bachelors;Professional;0;Australia;7800 Corrinne Court;2021-01-14
11011;Curtis Lu;1969-05-03;1;Male;60000,00;Bachelors;Professional;1;Australia;1224 Shoenic;2020-12-30
11012;Lauren Walker;1979-01-14;1;Female;100000,00;Bachelors;Management;1;United States;4785 Scott Street;2023-03-16
11013;Ian Jenkins;1979-08-03;1;Male;100000,00;Bachelors;Management;1;United States;7902 Hudson Ave.;2023-04-13
11014;Sydney Bennett;1973-11-06;0;Female;100000,00;Bachelors;Management;0;United States;9011 Tank Drive;2023-03-23
11015;Chloe Young;1984-08-26;0;Female;30000,00;Partial College;Skilled Manual;0;United States;244 Willow Pass Road;2023-01-18
11016;Wyatt Hill;1984-10-25;1;Male;30000,00;Partial College;Skilled Manual;1;United States;9666 Northridge Ct.;2023-02-09
11017;Shannon Wang;1949-12-24;0;Female;20000,00;High School;Skilled Manual;1;Australia;7330 Saddlehill Lane;2021-01-12
11018;Clarence Rai;1955-10-06;0;Male;30000,00;Partial College;Clerical;1;Australia;244 Rivewview;2021-01-17
11019;Luke Lal;1983-09-04;0;Male;40000,00;High School;Skilled Manual;0;Canada;7832 Landing Dr;2023-02-12
11020;Jordan King;1984-03-19;0;Male;40000,00;High School;Skilled Manual;0;Canada;7156 Rose Dr.;2022-12-29
11021;Destiny Wilson;1984-03-02;0;Female;40000,00;Partial College;Skilled Manual;0;United States;8148 W. Lake Dr.;2023-01-23
11022;Ethan Zhang;1984-04-10;1;Male;40000,00;Partial College;Skilled Manual;1;United States;1769 Nicholas Drive;2023-01-20
11023;Seth Edwards;1984-04-09;1;Male;40000,00;Partial College;Skilled Manual;1;United States;4499 Valley Crest;2023-02-17
11024;Russell Xie;1984-03-16;1;Male;60000,00;Partial College;Skilled Manual;1;United States;8734 Oxford Place;2023-06-27
11025;Alejandro Beck;1951-06-22;1;Male;10000,00;Partial High School;Clerical;1;Australia;2596 Franklin Canyon Road;2021-01-06
11026;Harold Sai;1951-10-01;0;Male;30000,00;Partial College;Clerical;0;Australia;8211 Leeds Ct.;2021-01-23
11027;Jessie Zhao;1952-06-05;1;Male;30000,00;Partial College;Clerical;1;Australia;213 Valencia Place;2021-01-16
11028;Jill Jimenez;1951-10-09;1;Female;30000,00;Partial College;Clerical;1;Australia;9111 Rose Ann Ave;2021-01-26
11029;Jimmy Moreno;1952-06-19;1;Male;30000,00;Partial College;Clerical;1;Australia;6385 Mark Twain;2021-01-19
11030;Bethany Yuan;1958-02-18;1;Female;10000,00;Partial High School;Clerical;1;Australia;636 Vine Hill Way;2021-02-05
11031;Theresa Ramos;1953-02-18;1;Female;20000,00;High School;Skilled Manual;1;Australia;6465 Detroit Ave.;2021-02-01
11032;Denise Stone;1952-12-08;1;Female;20000,00;High School;Skilled Manual;1;Australia;626 Bentley Street;2021-02-18
11033;Jaime Nath;1958-09-19;1;Male;20000,00;High School;Skilled Manual;1;Australia;5927 Rainbow Dr;2021-02-15
11034;Ebony Gonzalez;1952-12-16;1;Female;20000,00;High School;Skilled Manual;1;Australia;5167 Condor Place;2021-02-01
11035;Wendy Dominguez;1953-08-23;1;Female;10000,00;Partial High School;Clerical;1;Australia;1873 Mt. Whitney Dr;2021-02-06
11036;Jennifer Russell;1984-06-16;1;Female;60000,00;Partial College;Skilled Manual;1;United States;3981 Augustine Drive;2023-01-22
11037;Chloe Garcia;1983-05-27;0;Female;40000,00;Partial High School;Clerical;0;Canada;8915 Woodside Way;2023-01-20
11038;Diana Hernandez;1953-09-20;1;Female;10000,00;Partial High School;Clerical;1;Australia;8357 Sandy Cove Lane;2021-02-07
11039;Marc Martin;1954-06-16;1;Male;30000,00;Partial College;Clerical;1;Australia;9353 Creekside Dr.;2021-02-07
11040;Jesse Murphy;1983-01-29;1;Male;30000,00;Partial College;Skilled Manual;1;United States;3350 Kingswood Circle;2023-04-03
11041;Amanda Carter;1983-04-15;1;Female;60000,00;Partial College;Skilled Manual;1;United States;5826 Escobar;2023-01-14
11042;Megan Sanchez;1982-12-11;1;Female;70000,00;Partial College;Skilled Manual;1;United States;1397 Paraiso Ct.;2023-01-21
11043;Nathan Simmons;1981-08-23;1;Male;60000,00;Partial College;Skilled Manual;1;United States;1170 Shaw Rd;2023-05-08
11044;Adam Flores;1954-11-21;1;Male;20000,00;Partial High School;Clerical;1;Australia;6935 Candle Dr;2021-02-28
11045;Leonard Nara;1955-11-16;0;Male;30000,00;High School;Skilled Manual;0;Australia;7466 La Vista Ave.;2023-04-10
11046;Christine Yuan;1955-09-19;1;Female;30000,00;High School;Skilled Manual;1;Australia;2356 Orange St;2021-02-06
11047;Jaclyn Lu;1955-08-27;1;Female;30000,00;High School;Skilled Manual;0;Australia;2812 Mazatlan;2021-02-03
11048;Jeremy Powell;1956-05-21;1;Male;30000,00;High School;Skilled Manual;1;Australia;1803 Potomac Dr.;2021-02-10
11049;Carol Rai;1986-01-15;0;Female;40000,00;Partial High School;Clerical;1;United States;6064 Madrid;2023-03-09
11050;Alan Zheng;1957-03-06;1;Male;30000,00;High School;Skilled Manual;1;Australia;2741 Gainborough Dr.;2021-02-20
11051;Daniel Johnson;1957-01-31;0;Male;30000,00;High School;Skilled Manual;0;Australia;8085 Sunnyvale Avenue;2023-12-29
11052;Heidi Lopez;1957-02-03;0;Female;40000,00;Partial College;Clerical;0;Australia;2514 Via Cordona;2021-02-17
11053;Ana Price;1986-02-17;1;Female;60000,00;Partial College;Skilled Manual;0;United States;1660 Stonyhill Circle;2023-01-17
11054;Deanna Munoz;1957-09-07;1;Female;40000,00;Partial College;Skilled Manual;1;Australia;5825 B Way;2021-02-03
11055;Gilbert Raje;1957-09-02;1;Male;40000,00;Partial College;Skilled Manual;1;Australia;8811 The Trees Dr.;2021-01-31
11056;Michele Nath;1958-10-01;1;Female;40000,00;Partial College;Skilled Manual;1;Australia;5464 Janin Pl.;2021-02-26
11057;Carl Andersen;1970-04-07;1;Male;70000,00;Graduate Degree;Management;1;Australia;6930 Lake Nadine Place;2021-02-22
11058;Marc Diaz;1965-04-23;1;Male;80000,00;Partial College;Skilled Manual;1;Australia;6645 Sinaloa;2021-03-09
11059;Ashlee Andersen;1959-09-29;0;Female;80000,00;Partial College;Skilled Manual;1;Australia;8255 Highland Road;2023-02-18
11060;Jon Zhou;1959-09-14;1;Male;80000,00;Partial College;Skilled Manual;1;Australia;6574 Hemlock Ave.;2021-03-19
11061;Todd Gao;1976-02-20;1;Male;80000,00;Partial College;Skilled Manual;1;Australia;8808 Geneva Ave;2021-03-13
11062;Noah Powell;1981-03-01;1;Male;40000,00;High School;Skilled Manual;1;United States;9794 Marion Ct;2023-01-07
11063;Angela Murphy;1980-10-04;0;Female;40000,00;High School;Skilled Manual;1;United States;4927 Virgil Street;2023-01-12
11064;Chase Reed;1981-06-05;1;Male;40000,00;High School;Skilled Manual;1;United States;2721 Alexander Pl.;2023-01-25
11065;Jessica Henderson;1979-04-08;1;Female;60000,00;Partial College;Skilled Manual;0;United States;9343 Ironwood Way;2023-02-10
11066;Grace Butler;1979-05-27;1;Female;70000,00;Partial College;Professional;1;United States;4739 Garden Ave.;2023-05-31
11067;Caleb Carter;1982-03-25;0;Male;60000,00;Partial College;Professional;1;United States;9563 Pennsylvania Blvd.;2023-08-18
11068;Tiffany Liang;1966-09-19;0;Female;80000,00;High School;Skilled Manual;1;Australia;3608 Sinclair Avenue;2023-04-30
11069;Carolyn Navarro;1966-09-17;0;Female;80000,00;High School;Skilled Manual;0;Australia;4606 Springwood Court;2021-04-17
11070;Willie Raji;1960-10-02;1;Male;80000,00;High School;Skilled Manual;1;Australia;6260 Vernal Drive;2021-04-28
11071;Linda Serrano;1960-12-23;0;Female;80000,00;High School;Skilled Manual;1;Australia;9808 Shaw Rd.;2023-03-01
11072;Casey Luo;1960-08-05;0;Female;80000,00;High School;Skilled Manual;0;Australia;9513 Roslyn Drive;2021-03-31
11073;Amy Ye;1962-02-11;0;Female;70000,00;High School;Skilled Manual;1;Australia;2262 Kirkwood Ct.;2023-03-23
11074;Levi Arun;1962-02-25;0;Male;70000,00;High School;Skilled Manual;1;Australia;4661 Bluetail;2023-03-23
11075;Felicia Jimenez;1963-05-16;0;Female;80000,00;High School;Professional;1;Australia;786 Eastgate Ave;2021-04-28
11076;Blake Anderson;1963-01-10;0;Male;80000,00;High School;Professional;1;Australia;5436 Clear;2021-04-21
11077;Leah Ye;1963-03-19;0;Female;80000,00;High School;Professional;0;Australia;1291 Arguello Blvd.;2021-04-15
11078;Gina Martin;1985-01-06;0;Female;40000,00;High School;Professional;0;Canada;1349 Sol St.;2023-02-15
11079;Donald Gonzalez;1970-03-07;0;Male;160000,00;Graduate Degree;Management;1;Australia;4236 Malibu Place;2023-03-15
11080;Damien Chander;1965-01-13;1;Male;170000,00;Graduate Degree;Management;1;Australia;9941 Stonehedge Dr.;2021-04-10
11081;Savannah Baker;1972-01-21;1;Female;120000,00;Bachelors;Management;1;United States;1210 Trafalgar Circle;2023-02-12
11082;Angela Butler;1972-02-01;0;Female;130000,00;Graduate Degree;Management;0;United States;6040 Listing Ct;2023-01-22
11083;Alyssa Cox;1977-03-11;1;Female;130000,00;Graduate Degree;Management;1;United States;867 La Orinda Place;2023-01-06
11084;Lucas Phillips;1963-03-12;0;Male;80000,00;Partial High School;Skilled Manual;0;United States;8668 St. Celestine Court;2023-01-04
11085;Emily Johnson;1963-01-16;0;Female;60000,00;High School;Professional;0;United States;7926 Stephanie Way;2023-12-06
11086;Ryan Brown;1963-06-22;1;Male;70000,00;Partial College;Professional;1;United States;2939 Wesley Ct.;2023-07-02
11087;Tamara Liang;1963-04-02;1;Female;70000,00;Partial College;Professional;0;United States;3791 Rossmor Parkway;2023-02-25
11088;Hunter Davis;1963-05-25;1;Male;80000,00;Bachelors;Management;1;United States;4308 Sand Pointe Lane;2023-01-13
11089;Abigail Price;1962-08-05;0;Female;80000,00;Bachelors;Management;1;United States;2685 Blackburn Ct;2022-12-29
11090;Trevor Bryant;1968-12-13;0;Male;90000,00;Partial College;Professional;1;United States;5781 Sharon Dr.;2021-08-07
11091;Dalton Perez;1962-10-02;1;Male;90000,00;Partial College;Professional;1;Canada;6083 San Jose;2023-01-29
11092;Cheryl Diaz;1972-11-02;1;Female;90000,00;Bachelors;Professional;1;Australia;7297 Kaywood Drive;2021-04-08
11093;Aimee He;1978-09-06;1;Female;100000,00;Graduate Degree;Management;1;Australia;1833 Olympic Drive;2021-04-07
